figure,panel,setting,measure,group,estimate,unit,ci_low,ci_high,n_conversations,notes
Appendix D1,a,WC coding,around-first scaffold contrast,after minus before first scaffolded turn,1.374747,percentage-point difference,0.967036,1.791448,20410,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
Appendix D1,a,LMSYS coding,around-first scaffold contrast,after minus before first scaffolded turn,1.496078,percentage-point difference,1.008954,1.943564,13377,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
Appendix D1,a,SC coding,around-first scaffold contrast,after minus before first scaffolded turn,0.697194,percentage-point difference,-1.233558,2.663736,1732,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
Appendix D1,a,WC writing,around-first scaffold contrast,after minus before first scaffolded turn,-4.248889,percentage-point difference,-4.690235,-3.804837,13172,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
Appendix D1,a,LMSYS writing,around-first scaffold contrast,after minus before first scaffolded turn,-2.485347,percentage-point difference,-2.971214,-2.003599,6415,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
Appendix D1,a,SC writing,around-first scaffold contrast,after minus before first scaffolded turn,-0.640404,percentage-point difference,-2.754248,1.531813,623,Conversation-level bootstrap over conversations with defined before/after scaffolded-turn windows.
