figure,panel,setting,measure,group,estimate,unit,ci_low,ci_high,n_conversations,notes,p_value,support_form
Figure 5,b,SC coding,P(next constructive turn),prior active: non-scaffolded reference,14.4483,percent,12.3814,16.4884,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior active: scaffolded support,17.5129,percent,15.2349,19.8367,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior active: non-scaffolded reference,1.9286,percent,1.6503,2.2346,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior active: scaffolded support,2.5838,percent,2.1751,3.0242,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior active: non-scaffolded reference,2.1687,percent,1.7503,2.5999,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior active: scaffolded support,2.0536,percent,1.4832,2.6437,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior active: non-scaffolded reference,6.2368,percent,4.7874,7.9270,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior active: scaffolded support,7.4627,percent,4.9734,10.1257,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC coding,P(next constructive turn),prior passive: non-scaffolded reference,12.9630,percent,8.9215,17.0296,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC coding,P(next constructive turn),prior passive: scaffolded support,15.0327,percent,9.8682,20.5674,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior passive: non-scaffolded reference,7.3482,percent,4.4726,10.1016,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior passive: scaffolded support,13.8462,percent,5.8824,23.5315,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior passive: non-scaffolded reference,9.2308,percent,3.2258,16.4755,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior passive: scaffolded support,28.7671,percent,20.2886,37.0406,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior passive: non-scaffolded reference,2.1182,percent,1.2562,3.1763,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior passive: scaffolded support,3.5857,percent,1.3559,6.0411,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior passive: non-scaffolded reference,2.2831,percent,0.9237,3.8761,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior passive: scaffolded support,4.7619,percent,0.0000,10.2076,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior passive: non-scaffolded reference,1.3793,percent,0.0000,3.4722,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior passive: scaffolded support,9.3333,percent,1.7234,18.0556,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,c,WC coding,P(next assistant scaffolded),prior constructive,65.5,percent,,,,,,
Figure 5,c,WC coding,P(next assistant scaffolded),prior active,50.7,percent,,,,,,
Figure 5,c,WC coding,P(next assistant scaffolded),prior passive,29.5,percent,,,,,,
Figure 5,c,LMSYS coding,P(next assistant scaffolded),prior constructive,40.3,percent,,,,,,
Figure 5,c,LMSYS coding,P(next assistant scaffolded),prior active,26.0,percent,,,,,,
Figure 5,c,LMSYS coding,P(next assistant scaffolded),prior passive,17.2,percent,,,,,,
Figure 5,c,SC coding,P(next assistant scaffolded),prior constructive,66.3,percent,,,,,,
Figure 5,c,SC coding,P(next assistant scaffolded),prior active,53.7,percent,,,,,,
Figure 5,c,SC coding,P(next assistant scaffolded),prior passive,43.7,percent,,,,,,
Figure 5,c,WC writing,P(next assistant scaffolded),prior constructive,37.8,percent,,,,,,
Figure 5,c,WC writing,P(next assistant scaffolded),prior active,43.2,percent,,,,,,
