scope,intent,label,s2_turn_prevalence_pct,constructive_ratio_with_intent_pct,constructive_ratio_without_intent_pct,difference_pp,conv_with_intent,conv_without_intent
pooled,I1,metacognitive,8.682391478166672,4.958334836405613,6.919737740393905,-1.9614029039882919,10909,55792
pooled,I2,cognitive,91.62647339506331,6.8138181493443675,2.8224365844944623,3.991381564849905,61835,4866
pooled,I3,affective,0.8350313378556138,12.431544359255202,6.389550130409875,6.041994228845327,1052,65649
coding,I1,metacognitive,8.161956946378307,6.976362980690424,9.613140080215606,-2.6367770995251822,6767,36079
coding,I2,cognitive,92.33288924060143,9.449827032217557,3.8878266411727216,5.562000391044836,40172,2674
coding,I3,affective,0.9656512636608601,16.142969363707778,8.931526561937883,7.211442801769895,778,42068
writing,I1,metacognitive,9.62265858293367,2.490075784915193,2.7597509013438217,-0.26967511642862885,4142,19713
writing,I2,cognitive,90.35019455252919,2.7848339448678145,1.8371156302190785,0.947718314648736,21663,2192
writing,I3,affective,0.5990408107863542,3.887884267631103,2.679048110837848,1.208836156793255,274,23581
