section,model_type,adjustment,term,label,coef,se,z,p_value,estimate_type,estimate,ci_low,ci_high,n_conversations,n_user_turns,n_constructive_turns,pearson_dispersion,log_likelihood,model_source_reference,n_recoverable_model_source_levels,n_model_source_fixed_effects,formula,se_type,notes
2.3,Poisson count,dataset FE,has_S2,Scaffolded support,0.865192,0.022268,38.852852,0,Poisson count ratio,2.375462,2.274013,2.481438,128569,491685,24227,1.3921,,,0,0,Cog_C_count ~ has_S2 + conversation context + dataset fixed effects,HC1 sandwich,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
2.3,Logit any constructive,dataset FE,has_S2,Scaffolded support,0.713408,0.019510,36.566009,9.92716e-293,logit odds ratio,2.040934,1.964363,2.120491,128569,491685,24227,,-44672.874671,,0,0,has_Cog_C ~ has_S2 + conversation context + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
2.3,Poisson offset rate,dataset FE,has_S2,Scaffolded support,0.663225,0.017902,37.046939,2.0117e-300,offset rate ratio,1.941042,1.874115,2.010360,128569,491685,24227,1.2396,,,0,0,Cog_C_count ~ has_S2 + conversation context + dataset fixed effects + offset(log(user_turns)),quasi-Poisson scaled model SE,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
2.3,Poisson count,model/source FE,has_S2,Scaffolded support,0.853795,0.022616,37.752306,6.89426e-312,Poisson count ratio,2.348542,2.246713,2.454987,128569,491685,24227,1.3828,,LMSYS::RWKV-4-Raven-14B,44,40,Cog_C_count ~ has_S2 + conversation context + model/source fixed effects,HC1 sandwich,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
2.3,Logit any constructive,model/source FE,has_S2,Scaffolded support,0.693681,0.019774,35.080802,1.32285e-269,logit odds ratio,2.001067,1.924996,2.080144,128569,491685,24227,,-44448.397488,LMSYS::RWKV-4-Raven-14B,44,40,has_Cog_C ~ has_S2 + conversation context + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
2.3,Poisson offset rate,model/source FE,has_S2,Scaffolded support,0.649065,0.018156,35.750201,6.56829e-280,offset rate ratio,1.913751,1.846848,1.983078,128569,491685,24227,1.2325,,LMSYS::RWKV-4-Raven-14B,44,40,Cog_C_count ~ has_S2 + conversation context + model/source fixed effects + offset(log(user_turns)),quasi-Poisson scaled model SE,Pooled Section 2.3 sensitivity; model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators.
